ID,z_sys_line,delta_v_kms,delta_v_err_kms,fwhm_kms,lya_snr,skew_pinned,dv_out_of_band,pass_zsys_is_OIII,pass_dv_positive,pass_dv_err<120,pass_fwhm>100,pass_snr>3,pass_not_pinned_or_oob,n_criteria_failed,tier,manual
49902,OIII,77.82672901417179,7.353260689086311,377.7086386715661,31.3322952526851,False,False,True,True,True,True,True,True,0,gold,a
47283,OIII,45.76443031836644,8.720586230898691,239.0509867326249,27.649845111477184,False,False,True,True,True,True,True,True,0,gold,a
51579,OIII,244.6571779104653,10.157874909715463,233.0874907350632,29.051020322992983,False,False,True,True,True,True,True,True,0,gold,a
44361,OIII,26.82376819036484,10.40516903963966,177.89928068372922,15.347033798550598,False,False,True,True,True,True,True,True,0,gold,a
46979,OIII,171.39249485083457,13.41661443944041,364.07972108871365,23.50417053810447,False,False,True,True,True,True,True,True,0,gold,a
46212,OIII,63.2174359999151,14.297244989641449,462.4442114209109,33.515138613622895,False,False,True,True,True,True,True,True,0,gold,a
42751,OIII,182.7668493164608,15.32342895257119,465.4760591219567,32.317050450093795,False,False,True,True,True,True,True,True,0,gold,a
49726,OIII,317.60569038850764,17.296270630423116,441.9256884229405,30.55899995568666,False,False,True,True,True,True,True,True,0,gold,a
48688,OIII,90.74436774663418,19.35024350941936,245.3753242959299,10.6086511999784,False,False,True,True,True,True,True,True,0,gold,a
26999,OIII,232.28614687623377,24.302660207497148,342.83631051898715,13.23233341789166,False,False,True,True,True,True,True,True,0,gold,a
50966,OIII,232.38146195296488,26.684922923748584,226.27151547125555,6.153353232639944,False,False,True,True,True,True,True,True,0,gold,a
49694,OIII,140.1610124846499,27.702803838879625,336.6093133426372,12.481498110434394,False,False,True,True,True,True,True,True,0,gold,a
33361,OIII,318.8705013677584,34.630871496662685,283.31383156586514,7.45416116550701,False,False,True,True,True,True,True,True,0,gold,a
50970,OIII,1.544884144957435,35.5921851299313,433.2438781167775,13.131078957546372,False,False,True,True,True,True,True,True,0,gold,a
17058,OIII,265.4530234059382,35.94029777661854,369.9472441543337,7.809311377701261,False,False,True,True,True,True,True,True,0,gold,a
43683,OIII,123.02646592112212,39.27342416173793,468.7373081572943,13.16987088522881,False,False,True,True,True,True,True,True,0,gold,a
48586,OIII,988.1783916762316,41.60127176382798,213.2302821217166,3.709787012743332,False,False,True,True,True,True,True,True,0,gold,a
48744,OIII,534.2763537699877,42.07589592986553,200.68482831509897,3.336748447515665,False,False,True,True,True,True,True,True,0,gold,a
26580,OIII,188.2444054934931,42.67546487229779,438.0513378473046,8.883438835011361,False,False,True,True,True,True,True,True,0,gold,a
57248,OIII,432.1609519663223,52.672145352881365,343.89999294200857,6.86727961610662,False,False,True,True,True,True,True,True,0,gold,a
48525,OIII,631.5889957442141,56.6912023057353,516.5464434982302,8.643515012449717,False,False,True,True,True,True,True,True,0,gold,a
48648,OIII,451.89457429436857,67.18525158376691,306.0436328872391,3.2680526920188497,False,False,True,True,True,True,True,True,0,gold,a
53947,OIII,460.7801585239839,71.26559958367692,608.0913538110663,7.263444466943501,False,False,True,True,True,True,True,True,0,gold,a
47218,OIII,715.6749340716194,71.51363569151708,293.88113338288844,3.4520984384402054,False,False,True,True,True,True,True,True,0,gold,a
43713,OIII,348.8988376996776,84.24066988162299,406.0705734094443,3.766799288729469,False,False,True,True,True,True,True,True,0,gold,a
46091,OIII,1053.7100050226843,85.83729220194266,420.947346948247,4.097456047535478,False,False,True,True,True,True,True,True,0,gold,a
17074,OIII,165.45815806227168,89.08432116101542,727.8867066557168,5.190732675199884,False,False,True,True,True,True,True,True,0,gold,a
47137,Ha,228.1415299129154,7.706243915599949,363.3143653313935,61.37322038770971,False,False,False,True,True,True,True,True,1,silver,a
46887,Ha,216.94027774574857,13.390088854970305,301.73874315821485,34.584149361955085,False,False,False,True,True,True,True,True,1,silver,a
59737,Ha,571.9595149801426,15.361754653443857,362.3198448097568,15.036421771244465,False,False,False,True,True,True,True,True,1,silver,a
59457,OIII,356.02219341698515,20.077129029001064,99.95482348036502,3.051642813532254,False,False,True,True,True,False,True,True,1,silver,a
45547,Ha,171.59607652946713,26.3512004561543,379.9764692622615,15.534694532601272,False,False,False,True,True,True,True,True,1,silver,a
49540,Ha,154.04918966197718,32.66427018007185,338.216521727299,11.427374662205755,False,False,False,True,True,True,True,True,1,silver,a
45677,OIII,181.94194086200747,36.481593584956784,237.8383414671199,5.246657225870278,True,False,True,True,True,True,True,False,1,silver,a
47664,OIII,121.3875102507792,39.87497115689948,330.1444657336487,7.114734180237074,True,False,True,True,True,True,True,False,1,silver,a
15748,OIII,113.44870278284743,41.63758648129376,160.17298975092538,3.614754666976647,True,False,True,True,True,True,True,False,1,silver,a
18502,Ha,285.499913075331,43.0629689454324,468.12560739216985,10.547205131145764,False,False,False,True,True,True,True,True,1,silver,a
44980,OIII,104.63221569660192,50.16406483233739,329.7299793462269,6.142586581025192,True,False,True,True,True,True,True,False,1,silver,a
45004,OIII,169.51033771494767,62.91698968360401,390.66280935456894,5.957940172988147,True,False,True,True,True,True,True,False,1,silver,a
41512,Ha,605.9681412390064,82.39859641702884,689.2589199308846,6.465591431622585,False,False,False,True,True,True,True,True,1,silver,a
18444,Ha,417.3743041688166,90.03847525390785,435.2203368715431,3.834296701958064,False,False,False,True,True,True,True,True,1,silver,a
47750,OIII,394.9591068594216,110.17076786217204,488.7492258336916,3.676747004644051,True,False,True,True,True,True,True,False,1,silver,a
