ID,z_sys_line,delta_v_kms,delta_v_err_kms,fwhm_kms,lya_snr,skew_pinned,dv_out_of_band,pass_zsys_is_OIII,pass_dv_positive,pass_dv_err<120,pass_fwhm>100,pass_snr>3,pass_not_pinned_or_oob,n_criteria_failed,tier,manual
48121,OIII,-189.37887959927704,28.837263648961525,119.96640468598572,2.8176163580689297,False,False,True,False,True,True,False,True,2,bronze,c
50751,OIII,1202.5999907109892,29.071523116385656,165.60413098185134,2.8175879196791813,False,True,True,True,True,True,False,False,2,bronze,b
23341,OIII,-174.09159557926353,67.5507980467568,445.212069234512,6.039034239058839,True,False,True,False,True,True,True,False,2,bronze,b
47549,OIII,-81.82577261511477,84.65224863634688,209.42201197569705,2.7363052335471068,False,False,True,False,True,True,False,True,2,bronze,b
28600,OIII,1083.8210036870614,97.43171776231304,289.89421420477004,2.7719583025638777,True,False,True,True,True,True,False,False,2,bronze,b
50654,OIII,-230.175789371732,106.36399629143196,627.0116537398351,4.258685466026151,True,False,True,False,True,True,True,False,2,bronze,c
48146,OIII,-489.2309004634309,117.2192532457713,480.8012773742,3.510288148845932,True,True,True,False,True,True,True,False,2,bronze,d
18866,OIII,531.8030443265392,178.83132727902037,514.9124313343808,2.3296545804316,False,False,True,True,False,True,False,True,2,bronze,d
47736,OIII,215.05553850955377,209.7249279766529,104.13041571689676,1.2323928692941233,False,False,True,True,False,True,False,True,2,bronze,d
56591,OIII,114.9521920037214,277.8062833368796,504.6299370608617,1.7086126887767212,False,False,True,True,False,True,False,True,2,bronze,d
