ID,z_sys_line,delta_v_kms,delta_v_err_kms,fwhm_kms,lya_snr,skew_pinned,dv_out_of_band,pass_zsys_is_OIII,pass_dv_positive,pass_dv_err<120,pass_fwhm>100,pass_snr>3,pass_not_pinned_or_oob,n_criteria_failed,tier,manual
47137,Ha,228.1415299129154,7.706243915599949,363.3143653313935,61.37322038770971,False,False,False,True,True,True,True,True,1,silver,a
29701,OIII,-4.7427110242188535,13.31937216125687,326.8826734744555,22.136425663191662,False,False,True,False,True,True,True,True,1,silver,b
46887,Ha,216.94027774574857,13.390088854970305,301.73874315821485,34.584149361955085,False,False,False,True,True,True,True,True,1,silver,a
59737,Ha,571.9595149801426,15.361754653443857,362.3198448097568,15.036421771244465,False,False,False,True,True,True,True,True,1,silver,a
59457,OIII,356.02219341698515,20.077129029001064,99.95482348036502,3.051642813532254,False,False,True,True,True,False,True,True,1,silver,a
45547,Ha,171.59607652946713,26.3512004561543,379.9764692622615,15.534694532601272,False,False,False,True,True,True,True,True,1,silver,a
49540,Ha,154.04918966197718,32.66427018007185,338.216521727299,11.427374662205755,False,False,False,True,True,True,True,True,1,silver,a
45677,OIII,181.94194086200747,36.481593584956784,237.8383414671199,5.246657225870278,True,False,True,True,True,True,True,False,1,silver,a
16871,OIII,624.9132785032473,36.61133546448533,107.99760485228526,2.244913021279718,False,False,True,True,True,True,False,True,1,silver,b
49289,OIII,-7.303629938267526,38.03843301766048,441.1384963573136,10.125691689795202,False,False,True,False,True,True,True,True,1,silver,b
47664,OIII,121.3875102507792,39.87497115689948,330.1444657336487,7.114734180237074,True,False,True,True,True,True,True,False,1,silver,a
15748,OIII,113.44870278284743,41.63758648129376,160.17298975092538,3.614754666976647,True,False,True,True,True,True,True,False,1,silver,a
18502,Ha,285.499913075331,43.0629689454324,468.12560739216985,10.547205131145764,False,False,False,True,True,True,True,True,1,silver,a
44980,OIII,104.63221569660192,50.16406483233739,329.7299793462269,6.142586581025192,True,False,True,True,True,True,True,False,1,silver,a
45004,OIII,169.51033771494767,62.91698968360401,390.66280935456894,5.957940172988147,True,False,True,True,True,True,True,False,1,silver,a
19819,OIII,264.8841720338823,68.0995065661598,246.30242800884392,2.238219475113376,False,False,True,True,True,True,False,True,1,silver,b
42990,OIII,546.772433557193,72.61801940225908,203.0351129429313,2.0551295140717163,False,False,True,True,True,True,False,True,1,silver,b
45443,OIII,-6.279649871117343,78.14778018519038,445.9791568528152,4.705459261184913,False,False,True,False,True,True,True,True,1,silver,b
41512,Ha,605.9681412390064,82.39859641702884,689.2589199308846,6.465591431622585,False,False,False,True,True,True,True,True,1,silver,a
17086,OIII,1244.7011485342475,82.91729906960776,401.5548483714051,4.058620057731863,False,True,True,True,True,True,True,False,1,silver,c
18444,Ha,417.3743041688166,90.03847525390785,435.2203368715431,3.834296701958064,False,False,False,True,True,True,True,True,1,silver,a
45963,OIII,1389.607402778468,98.02288346873056,448.7792930246761,3.3959374028523097,False,True,True,True,True,True,True,False,1,silver,c
47750,OIII,394.9591068594216,110.17076786217204,488.7492258336916,3.676747004644051,True,False,True,True,True,True,True,False,1,silver,a
