ID,z_sys_line,delta_v_kms,delta_v_err_kms,fwhm_kms,lya_snr,skew_pinned,dv_out_of_band,pass_zsys_is_OIII,pass_dv_positive,pass_dv_err<120,pass_fwhm>100,pass_snr>3,pass_not_pinned_or_oob,n_criteria_failed,tier,manual
54193,OIII,-252.33555560213784,18.47460094170139,64.79100688905375,2.8948339194197032,True,False,True,False,True,False,False,False,4,stone,d
16853,Ha,759.054833335904,68.19649602004816,237.24000055768536,2.3710654510319307,True,False,False,True,True,True,False,False,3,stone,b
42812,Ha,475.1684351070627,86.97918300357584,73.46043817409466,3.05400755135056,True,False,False,True,True,False,True,False,3,stone,c
54521,OIII,-324.2232937980044,133.16674850203722,670.3171174682531,3.55936494238502,False,True,True,False,False,True,True,False,3,stone,b
17891,Ha,-376.8014176157087,138.1142223646447,757.2370928168617,4.310987003327139,True,True,False,False,False,True,True,False,4,stone,d
17578,OIII,-605.1939709825613,139.59132781374203,543.2252856884361,3.386820178353989,True,True,True,False,False,True,True,False,3,stone,d
48086,Ha,4112.475556117917,148.67331031072672,496.46250891663504,2.5776604371298752,False,True,False,True,False,True,False,False,4,stone,d
48256,OIII,-123.70762160974436,181.6197160967953,847.6466568425662,3.021882429264516,True,False,True,False,False,True,True,False,3,stone,d
57111,OIII,825.3693310444842,264.3295277540579,142.49177180865365,2.8417049290031065,True,False,True,True,False,True,False,False,3,stone,c
17416,,,,323.55243730547784,3.293785017077626,False,True,False,False,False,True,True,False,4,stone,d
17806,,,,375.5293034986756,3.379000638807499,False,False,False,False,False,True,True,True,3,stone,d
46008,,,,198.4215104080575,3.644271243822777,True,False,False,False,False,True,True,False,4,stone,d
58782,,,,353.4550368350974,27.595624946948146,False,False,False,False,False,True,True,True,3,stone,d
