ID,z_G235M,z_G235H,z_G395M,z_G395H,z_Ha_G235M,z_Ha_G235M_err,z_Ha_G235M_snr,z_Ha_G235H,z_Ha_G235H_err,z_Ha_G235H_snr,z_Ha_G395M,z_Ha_G395M_err,z_Ha_G395M_snr,z_Ha_G395H,z_Ha_G395H_err,z_Ha_G395H_snr
15479,,,,5.1078,,,,,,,,,,5.107371692483885,9.691265418845747e-05,16.39172751208058
15748,5.5206,,5.5197,,,,,,,,5.519636739738201,0.00013172208216233924,88.64268616079039,,,
16853,5.8612,,5.8589,,5.861827553626734,0.00037944955846483516,20.201238911862916,,,,5.858327823307302,0.0005053883038649755,19.02087772920549,,,
16871,,3.0803,,3.0812,,,,,,,,,,,,
17058,3.2684,3.2678,3.2684,3.2679,3.26796759185335,4.7118828423755097e-05,154.78173337491899,3.267806770476633,1.8849309381573686e-05,215.17659783046878,3.2680962305927324,0.00020348608175936415,38.90299167361469,,,
17074,,,,5.5034,,,,,,,,,,,,
17086,5.5045,,5.5028,,,,,,,,5.5026313296068645,0.000145734627480387,161.32453595111667,,,
17416,,5.878,,5.8514,,,,,,,,,,,,
17578,3.0937,3.0931,3.0926,,3.093987527194085,0.0002112120015398745,14.037493516941646,3.0930966536530553,0.00013803104046911525,21.492031883437644,,,,,,
17806,,2.9569,,,,,,,,,,,,,,
17891,3.0937,3.0925,3.0931,,3.094088197347757,0.00011344254747322224,17.80808975215232,3.092675821890733,9.680989482906022e-05,22.314733555217593,,,,,,
18444,,4.8672,,4.8633,,,,,,,,,,4.863015408142131,0.00012529360931985345,16.558706824627865
18502,,3.3744,,,,,,3.3746310569744367,1.3498735852590638e-05,278.750063931174,,,,,,
18866,3.2468,,3.2468,,3.246587670983284,4.5894296500931315e-05,676.2537362200378,,,,3.246509821045386,6.04109865075468e-05,143.04097192484932,,,
19650,3.1763,,3.1769,,3.176691445033631,5.653113400306478e-05,62.69844841577907,,,,3.1749400455926304,0.0011000776037034723,3.005436349092018,,,
19819,3.084,3.0834,3.084,,3.0839624029092407,4.076763858473236e-05,186.31200467567882,3.083400504822829,1.5528734348618435e-05,258.80436641379066,,,,,,
19928,,5.3675,,5.3653,,,,,,,,,,,,
23341,3.1832,3.1829,3.1832,,3.183412145255401,3.341169263512493e-05,151.57028636791424,3.1827997738796983,1.8720058978140202e-05,257.5485704819222,3.1838058240475853,0.000675373705747379,6.371690515821335,,,
23887,3.2598,3.2603,3.2592,,3.259753805779768,9.956837389063107e-05,46.05917233192248,,,,3.2592112383991383,0.00019366953491242115,18.520068100286107,,,
26580,3.0045,3.0042,3.0045,,3.004753568442637,2.4790511582239812e-05,279.39995707104094,3.0041352818844578,1.4795598268150377e-05,456.6169588159693,,,,,,
26999,,3.2988,,,,,,,,,,,,,,
27014,5.7331,,5.7322,,,,,,,,5.732797780137513,0.00011605274049144776,133.56094969396008,,,
28600,3.4865,,3.4859,,3.4866214705079672,9.508262519054378e-05,64.6641563927095,,,,3.4860064802799515,0.0005712779117797363,55.711192727563976,,,
29701,,3.4886,3.4878,,,,,,,,3.487590426407148,6.446870425695143e-05,87.41632677363918,,,
33361,3.4883,3.4882,3.4877,,3.488010566601944,1.9210322586335117e-05,140.56697258231588,,,,3.487146931964796,4.255970441289275e-05,89.75606821429662,,,
35799,,3.1843,,3.1943,,,,3.1840312980416288,0.0054272404659943515,8.23343142579521,,,,,,
38195,,3.181,,,,,,3.181324035760163,0.06417188125529785,7.42851248698819,,,,,,
41512,,2.9617,,,,,,2.961675443741489,0.00011787542922669654,58.795373633356405,,,,,,
42751,,3.1834,,3.1837,,,,,,,,,,,,
42812,2.9904,,,,2.9907673724368067,0.00015064102694155193,31.56618383619059,,,,,,,,,
42990,3.5202,,3.5196,,3.5199413481112085,9.035988297618421e-05,28.943225480741937,,,,3.519367796839637,2.8128904481629234e-05,19.058214884630686,,,
