ID,z_G235M,z_G235H,z_G395M,z_G395H,z_Hbeta_G235M,z_Hbeta_G235M_err,z_Hbeta_G235M_snr,z_Hbeta_G235H,z_Hbeta_G235H_err,z_Hbeta_G235H_snr,z_Hbeta_G395M,z_Hbeta_G395M_err,z_Hbeta_G395M_snr,z_Hbeta_G395H,z_Hbeta_G395H_err,z_Hbeta_G395H_snr
15479,,,,5.1078,,,,,,,,,,,,
15748,5.5206,,5.5197,,5.519882297672376,0.00019843089031304614,40.075762856118615,,,,,,,,,
16853,5.8612,,5.8589,,5.857984430856629,0.003854888104798296,10.084827128414966,,,,5.856689907320998,0.004734530024953486,1.8653290132877676,,,
16871,,3.0803,,3.0812,,,,3.0801274702991774,0.0002462066248603437,8.341726204382297,,,,,,
17058,3.2684,3.2678,3.2684,3.2679,3.268196818464305,8.85463512177492e-05,50.1747877563533,3.2677180638616,2.6826773312053638e-05,100.87487612082496,,,,,,
17074,,,,5.5034,,,,,,,,,,5.502839856467878,0.0008497808848568784,6.719249880497987
17086,5.5045,,5.5028,,5.504320283429153,0.00011517834858784238,67.19625239744187,,,,5.503946294116476,0.00013835075077400812,39.862451287591654,,,
17416,,5.878,,5.8514,,,,,,,,,,5.862369871283978,0.007561291730653154,2.6274148966605493
17578,3.0937,3.0931,3.0926,,3.098168471006729,0.002072717117203646,3.1495906003967145,3.093773205246494,0.0026582422021592393,13.989274337813988,,,,,,
17806,,2.9569,,,,,,2.9597658511486435,,1.2655984587237583,,,,,,
17891,3.0937,3.0925,3.0931,,3.095275252751378,0.19529457382448495,3.7389041691266747,3.092706130522518,0.0009784790291789472,3.097060736716839,,,,,,
18444,,4.8672,,4.8633,,,,,,,,,,,,
18502,,3.3744,,,,,,3.3744165450730303,4.391241389013948e-05,114.78369354793232,,,,,,
18866,3.2468,,3.2468,,3.246566747589144,3.814123910593153e-05,225.38354907118395,,,,,,,,,
19650,3.1763,,3.1769,,3.1766250491054464,0.000129747768784025,17.325337500130026,,,,,,,,,
19819,3.084,3.0834,3.084,,3.083767094457663,0.00011310228564046532,39.26556310362412,3.0833958191651663,4.051822014395482e-05,81.07737446274966,,,,,,
19928,,5.3675,,5.3653,,,,,,,,,,5.365404798676529,0.000966473986225504,5.2342279512606025
23341,3.1832,3.1829,3.1832,,3.1829168321158834,5.365851371186923e-05,78.78981460705121,,,,,,,,,
23887,3.2598,3.2603,3.2592,,3.2594271238587575,0.00030278708437523114,14.267580139831908,3.2602016141616224,0.00047263067508124176,10.617848374594645,,,,,,
26580,3.0045,3.0042,3.0045,,3.0041634303004585,0.00010704364026570146,58.034352183598635,3.004128119261292,2.5901219714211853e-05,107.85694864842527,,,,,,
26999,,3.2988,,,,,,3.298908575420522,0.00011746266423244136,40.047184402416136,,,,,,
27014,5.7331,,5.7322,,5.733507509852114,0.00014052522732069863,49.22372167376078,,,,5.7327390653797305,0.0001662671259733871,67.2302115902707,,,
28600,3.4865,,3.4859,,3.4862547115111333,0.000131363906605243,21.0611474805959,,,,,,,,,
29701,,3.4886,3.4878,,,,,3.4886088471015784,3.275801854656982e-05,101.58049527500717,,,,,,
33361,3.4883,3.4882,3.4877,,3.488596575148776,0.00014967107059622023,38.68476143633296,3.4882061048121793,6.487196770324669e-05,55.438571882399444,,,,,,
35799,,3.1843,,3.1943,,,,3.1864523798791957,0.002235992068521403,3.9156809340505974,,,,,,
38195,,3.181,,,,,,3.181443243407691,0.0005345629673239333,3.884669002659164,,,,,,
41512,,2.9617,,,,,,2.969059340425169,0.0020477926224529105,3.4793107610151903,,,,,,
42751,,3.1834,,3.1837,,,,3.183737381596498,9.650475469533565e-05,37.91289703037015,,,,,,
42812,2.9904,,,,,,,,,,,,,,,
42990,3.5202,,3.5196,,3.5196873834502727,0.0006791244815402907,8.791419042556948,,,,,,,,,
43129,3.5202,,3.5196,,3.5196873834502727,0.0006791244815402907,8.791419042556948,,,,,,,,,
43604,3.0017,3.0,3.0025,,3.000288312712101,0.0021951493340739876,3.0186697886989204,2.9912625532714636,0.001645543166651145,7.475930992443035,,,,,,
43683,3.5249,,,,3.524705921936344,0.00014597840280115265,18.907163215275236,,,,,,,,,
43713,3.0017,3.0,3.0025,,3.000288312712101,0.0021951493340739876,3.0186697886989204,2.9912625532714636,0.001645543166651145,7.475930992443035,,,,,,
44361,5.1308,,,,5.130767429294468,0.0003711414811613738,13.280600182598548,,,,,,,,,
44980,5.2528,5.2574,,5.2545,5.253479755690478,0.0006315920575441923,10.643139242867914,,,,,,,5.254478548638652,0.0004934032314737498,12.202321048838366
45004,5.2528,,,,5.253479755690478,0.0006315920575441923,10.643139242867914,,,,,,,,,
45443,3.3301,,,,3.3301527728562217,0.00017715495117148368,13.086169400231155,,,,,,,,,
45547,,,,4.4805,,,,,,,,,,,,
45677,,3.7535,,3.7535,,,,3.753329447777652,0.00016933448584700053,32.5893835057736,,,,,,
45963,,5.5194,,5.5168,,,,,,,,,,5.516844532439263,0.0004092752218651649,6.997688154389058
46008,,,,4.4088,,,,,,,,,,,,
46091,3.188,,,,3.187907256031604,0.00014985475100354686,28.548260138293312,,,,,,,,,
46212,,3.3726,,,,,,3.3725195418352367,0.00015312434408825765,19.742674532975872,,,,,,
46887,,3.3249,,3.3108,,,,3.3249251678075886,0.00033504058816844027,10.41289268214388,,,,,,
