ID,z_G235M,z_G235H,z_G395M,z_G395H,z_NII_G235M,z_NII_G235M_err,z_NII_G235M_snr,z_NII_G235H,z_NII_G235H_err,z_NII_G235H_snr,z_NII_G395M,z_NII_G395M_err,z_NII_G395M_snr,z_NII_G395H,z_NII_G395H_err,z_NII_G395H_snr
15479,,,,5.1078,,,,,,,,,,5.101520582442221,0.0021267363742711507,2.2561557468090525
15748,5.5206,,5.5197,,,,,,,,5.520632396032263,0.010396083699518418,7.757663985302452,,,
16853,5.8612,,5.8589,,5.858214261377482,0.0013311982119694433,2.4032181121556824,,,,5.858502766983586,0.0031564888009317903,1.4961757587876694,,,
16871,,3.0803,,3.0812,,,,,,,,,,,,
17058,3.2684,3.2678,3.2684,3.2679,3.2687539846225633,0.0003314896887808266,8.3702817985333,3.2678618041280982,0.00027504965026481674,7.258636461524395,3.2727060256829494,0.0006322972139855865,2.5849375282597085,,,
17074,,,,5.5034,,,,,,,,,,,,
17086,5.5045,,5.5028,,,,,,,,5.5028,,1.0878769145307861e-10,,,
17416,,5.878,,5.8514,,,,,,,,,,,,
17578,3.0937,3.0931,3.0926,,3.093629827086378,0.0005736107791118655,4.479435972638631,3.093156194082704,0.00016880069219426118,8.504673527117067,,,,,,
17806,,2.9569,,,,,,,,,,,,,,
17891,3.0937,3.0925,3.0931,,3.0925999539635836,0.0005245024828580958,9.476872453835988,3.093038977507005,0.00024309697582721064,11.792047740669735,,,,,,
18444,,4.8672,,4.8633,,,,,,,,,,4.864023884069952,1.1813962785433345,4.1046829470646955
18502,,3.3744,,,,,,3.374827379687196,0.0002910155353198248,6.690048098511209,,,,,,
18866,3.2468,,3.2468,,3.2475492695537955,0.00041235760013757697,52.6765001150436,,,,3.246368238852326,0.0015616141873682247,12.775535045488567,,,
19650,3.1763,,3.1769,,3.1762999999999995,,1.9798308952282679e-10,,,,3.17364127028235,0.001483379410899891,1.3318927771813207,,,
19819,3.084,3.0834,3.084,,3.083629216257232,0.0048558660345582975,8.318528551075596,3.083689797241541,0.00013624654417598915,12.166701981112588,,,,,,
19928,,5.3675,,5.3653,,,,,,,,,,,,
23341,3.1832,3.1829,3.1832,,3.182744241388834,0.0002602355122217874,10.138366111631697,3.182997953031519,0.00019793987526033923,11.773328644671704,3.1813252853522505,0.0008339423066912208,1.5341628571537023,,,
23887,3.2598,3.2603,3.2592,,3.259220504556885,0.00021529013858395768,14.750678809166802,,,,3.259967339258707,0.0005080438243853952,2.9792987679854703,,,
26580,3.0045,3.0042,3.0045,,3.0041465578033346,0.0001630536640766245,12.396149502023622,3.0043303698475405,0.00013096552212125265,21.65735304431209,,,,,,
26999,,3.2988,,,,,,,,,,,,,,
27014,5.7331,,5.7322,,,,,,,,5.7322,,1.3603506685643893e-10,,,
28600,3.4865,,3.4859,,3.4864548620692775,0.0007583061652962212,4.264600598340335,,,,3.4859,,8.308574134936056e-11,,,
29701,,3.4886,3.4878,,,,,,,,3.4937755307324574,0.08029871488743896,2.5549476426471855,,,
33361,3.4883,3.4882,3.4877,,3.488370775068044,0.0002712739646650641,15.012059833654918,,,,3.488773390962935,0.0003683241952821978,13.9225315882675,,,
35799,,3.1843,,3.1943,,,,3.1843000000000004,,1.3107314852405508e-10,,,,,,
38195,,3.181,,,,,,3.1821710083556187,0.0016370947765896396,2.8568533043746265,,,,,,
41512,,2.9617,,,,,,2.959570648610885,0.00022017413880214045,13.839237151707144,,,,,,
42751,,3.1834,,3.1837,,,,,,,,,,,,
42812,2.9904,,,,2.9912293014880964,0.0025192307424746754,3.8073418928579765,,,,,,,,,
42990,3.5202,,3.5196,,3.5205994114219914,0.0018138573672475677,1.2648648921503591,,,,3.5196000000000005,,4.387421669984733e-11,,,
43129,3.5202,,3.5196,,3.5205994114219914,0.0018138573672475677,1.2648648921503591,,,,3.5196000000000005,,4.387421669984733e-11,,,
43604,3.0017,3.0,3.0025,,3.000576735859921,0.0818536319861893,5.504071921059482,3.0,,1.9035811086567996e-10,,,,,,
43683,3.5249,,,,3.5166422894343388,,0.0014037016706881158,,,,,,,,,
43713,3.0017,3.0,3.0025,,3.000576735859921,0.0818536319861893,5.504071921059482,3.0,,1.9035811086567996e-10,,,,,,
44361,5.1308,,,,5.1308,,9.206899897760535e-11,,,,,,,,,
44980,5.2528,5.2574,,5.2545,5.252373374360273,0.0003599458120287769,13.639918212049025,,,,,,,5.254015209998449,0.0003334004975102966,11.519532666615115
45004,5.2528,,,,5.252373374360273,0.0003599458120287769,13.639918212049025,,,,,,,,,
45443,3.3301,,,,3.3308863030392226,,1.7948252861464644,,,,,,,,,
45547,,,,4.4805,,,,,,,,,,4.479303281705073,908454.579936508,4.626147632275289
