ID,z_G235M,z_G235H,z_G395M,z_G395H,z_OIII_G235M,z_OIII_G235M_err,z_OIII_G235M_snr,z_OIII_G235M_method,z_OIII_G235M_cont_side,z_OIII_G235H,z_OIII_G235H_err,z_OIII_G235H_snr,z_OIII_G235H_method,z_OIII_G235H_cont_side,z_OIII_G395M,z_OIII_G395M_err,z_OIII_G395M_snr,z_OIII_G395M_method,z_OIII_G395M_cont_side,z_OIII_G395H,z_OIII_G395H_err,z_OIII_G395H_snr,z_OIII_G395H_method,z_OIII_G395H_cont_side
15479,,,,5.1078,,,,,,,,,,,,,,,,5.1089478261492065,0.00031237885819523984,22.785650228085377,joint_4959_5007,both
15748,5.5206,,5.5197,,5.5226391885291894,5.0499106209842115e-05,417.4944105975211,joint_4959_5007,both,,,,,,,,,,,,,,,
16853,5.8612,,5.8589,,5.862264361055884,0.0020141483227453195,14.246038319356902,joint_4959_5007,both,,,,,,5.8618016455600666,0.0009657008150801161,14.180505272593669,joint_4959_5007,both,,,,,
16871,,3.0803,,3.0812,,,,,,3.0814630796266487,7.350233723419313e-05,44.901380932146516,joint_4959_5007,both,,,,,,,,,,
17058,3.2684,3.2678,3.2684,3.2679,3.269399835085105,4.467867543771631e-05,319.8614938472579,joint_4959_5007,both,3.2689800724473335,1.4644886873410569e-05,518.2024841807757,joint_4959_5007,both,,,,,,,,,,
17074,,,,5.5034,,,,,,,,,,,,,,,,5.50545452128854,0.00015308890637638745,47.593130388649286,joint_4959_5007,both
17086,5.5045,,5.5028,,5.506009588373236,6.898933888849814e-05,441.6771807850967,joint_4959_5007,both,,,,,,5.505161822211587,5.143555743487495e-05,489.9656488212775,joint_4959_5007,both,,,,,
17416,,5.878,,5.8514,,,,,,,,,,,,,,,,5.854014796650496,0.0006458649252930275,6.413123713544041,joint_4959_5007,both
17578,3.0937,3.0931,3.0926,,3.095604424676652,0.0005431418648731845,12.749983065969975,joint_4959_5007,both,3.0945679551877356,0.00013693119682334118,19.53443336180146,joint_4959_5007,both,,,,,,,,,,
17806,,2.9569,,,,,,,,2.955918150968278,16.989509664109207,4.7173514031774415,joint_4959_5007,both,,,,,,,,,,
17891,3.0937,3.0925,3.0931,,3.1038646521482685,0.08774294328348722,6.709778151897976,joint_4959_5007,both,3.0928437799138218,0.0006869453355843355,9.693248341157936,joint_4959_5007,both,,,,,,,,,,
18444,,4.8672,,4.8633,,,,,,,,,,,,,,,,4.865695905931787,0.0005371206943678997,13.927576369789117,joint_4959_5007,both
18502,,3.3744,,,,,,,,,,,joint_4959_5007,both,,,,,,,,,,
18866,3.2468,,3.2468,,3.2474744585663524,1.987392299358979e-05,1737.0587000406879,joint_4959_5007,both,,,,,,,,,,,,,,,
19650,3.1763,,3.1769,,3.177518742814015,4.7085854745298215e-05,104.94613538301421,joint_4959_5007,both,,,,,,,,,,,,,,,
19819,3.084,3.0834,3.084,,3.08552726368736,5.859014630083e-05,289.9767855619982,joint_4959_5007,both,3.084496294212153,1.6356734488597256e-05,638.6279826493767,joint_4959_5007,both,,,,,,,,,,
19928,,5.3675,,5.3653,,,,,,,,,,,,,,,,5.3669151581082915,0.00013099008170324716,87.3598919865706,joint_4959_5007,both
