ID,G235H,G235M,G395H,G395M,z_G235H,z_G235M,z_G395H,z_G395M,z_av,ra,dec,in_muse,edge,duplicate,AO_block,peak_snr,over_98,over_99.5
16871,1,0,1,0,3.0803,,3.0812,,3.08075,150.11752678,2.25685425,1,0,0,0,2.704188504408102,0,0
17058,1,1,1,1,3.2678,3.2684,3.2679,3.2684,3.268125,150.1246466,2.25791387,1,0,0,0,7.634287450727237,1,0
17416,1,0,1,0,5.878,,5.8514,,5.8647,150.10994726,2.25906961,1,0,0,0,3.2908559566097946,0,0
17806,1,0,0,0,2.9569,,,,2.9569,150.13654183,2.26058631,1,0,0,0,4.029778812554529,0,0
17891,1,1,0,1,3.0925,3.0937,,3.0931,3.0931,150.09821258,2.26032195,1,0,0,0,4.116799367548807,0,0
18444,1,0,1,0,4.8672,,4.8633,,4.86525,150.1203848,2.26339999,1,0,0,0,3.923852898319356,0,0
18502,1,0,0,0,3.3744,,,,3.3744,150.0937461,2.26383469,1,0,0,0,11.236175176038053,1,1
19819,1,1,0,1,3.0834,3.084,,3.084,3.0838,150.11892789,2.26829948,1,0,0,0,3.3459744657494594,0,0
23341,1,1,0,1,3.1829,3.1832,,3.1832,3.1831,150.12877579,2.28125935,1,0,0,0,5.78137743512608,1,0
26580,1,1,0,1,3.0042,3.0045,,3.0045,3.0044000000000004,150.11954406,2.29191409,1,0,0,0,8.977130868547437,1,1
26999,1,0,0,0,3.2988,,,,3.2988,150.09337527,2.29365718,1,0,0,0,13.13702835492782,1,1
29701,1,0,0,1,3.4886,,,3.4878,3.4882,150.10585312,2.30271941,1,0,0,0,22.60898603070975,1,1
33361,1,1,0,1,3.4882,3.4883,,3.4877,3.488066666666666,150.1186814,2.31445494,1,0,0,0,7.545066581792625,1,0
35799,1,0,1,0,3.1843,,3.1943,,3.1893,150.15714098,2.32275712,1,0,0,0,6.811864698807764,1,0
38195,1,0,0,0,3.181,,,,3.181,150.17782381,2.33052473,1,0,0,0,3.505320712054228,0,0
41512,1,0,0,0,2.9617,,,,2.9617,150.18112364,2.34183465,1,0,0,0,5.651584375152996,0,0
