ID,grating,z_dja,z_sys,z_sys_err,z_sys_snr,z_sys_quality,in_muse,edge,duplicate,AO_block,ra,dec
16871,G235H,3.0803,3.0814630796266487,7.350233723419313e-05,44.90138093214652,a,1,0,0,0,150.11752678,2.25685425
17058,G235H,3.2678,3.268980072447333,1.4644886873410567e-05,518.2024841807757,a,1,0,0,0,150.1246466,2.25791387
17416,G395H,5.8514,5.854014796650496,0.000645864925293,6.413123713544041,c,1,0,0,0,150.10994726,2.25906961
17578,G235H,3.0931,3.094567955187736,0.0001369311968233,19.53443336180146,a,1,5,0,0,150.09731355,2.26011549
17806,G235H,2.9569,2.955918150968278,16.989509664109207,4.7173514031774415,c,1,0,0,0,150.13654183,2.26058631
17891,G235H,3.0925,3.0928437799138218,0.0006869453355843,9.693248341157936,c,1,0,0,0,150.09821258,2.26032195
18444,G395H,4.8633,4.865695905931787,0.0005371206943678,13.927576369789117,b,1,0,0,0,150.1203848,2.26339999
18502,G235H,3.3744,,,,d,1,0,0,0,150.0937461,2.26383469
19819,G235H,3.0834,3.084496294212153,1.6356734488597256e-05,638.6279826493767,a,1,0,0,0,150.11892789,2.26829948
19928,G395H,5.3653,5.366915158108292,0.0001309900817032,87.3598919865706,a,0,0,0,0,150.15084764,2.26915087
23341,G235H,3.1829,3.1840106038551834,1.553441811182018e-05,1028.3351194754057,a,1,0,0,0,150.12877579,2.28125935
23887,G235H,3.2603,3.2615721879656974,0.0001709145818282,27.136539582084534,a,0,0,0,0,150.09399606,2.28229019
26580,G235H,3.0042,3.005279481392564,1.3861268888426536e-05,754.6525526772442,a,1,0,0,0,150.11954406,2.29191409
26999,G235H,3.2988,3.300137844392818,1.673586822229722e-05,288.64708853985803,a,1,0,0,0,150.09337527,2.29365718
29701,G235H,3.4886,3.4899060755399622,2.15465221486052e-05,627.020488512274,a,1,0,0,0,150.10585312,2.30271941
33361,G235H,3.4882,3.48937394450284,1.7831119190409698e-05,421.7183045450155,a,1,0,0,0,150.1186814,2.31445494
35799,G235H,3.1843,3.1854478218927573,0.0003280126131134,16.433468526111554,a,1,0,0,0,150.15714098,2.32275712
38195,G235H,3.181,3.182307796631096,0.0002971215556827,13.582940737941282,a,1,0,0,0,150.17782381,2.33052473
41512,G235H,2.9617,2.970282869536842,0.0048347107547916,12.002942619950668,c,1,0,0,0,150.18112364,2.34183465
